"partid","task_ord","cond","task_ind","task","session","time","gamble_ind","gamble_lab","box","opt","outcome","rt","nopt","H","R"
90242001,"dfd_dfe","incr",2,"dfe","51d0d1a59df297a1509120ad446c9f80",1417450613,4,"soep4_4",1,"b",4,289,4,0,1
90280201,"dfd_dfe","incr",1,"dfd","cb9b9cca299802b791944e108b4ef126",1422464643,1,"soep1_2",2,"b",3,57785,2,0,0
90280201,"dfd_dfe","incr",1,"dfd","cb9b9cca299802b791944e108b4ef126",1422464660,2,"soep2_2",2,"b",3,9208,2,0,0
90280201,"dfd_dfe","incr",1,"dfd","cb9b9cca299802b791944e108b4ef126",1422464681,3,"soep3_4",3,"c",3,18866,4,0,0
90280201,"dfd_dfe","incr",1,"dfd","cb9b9cca299802b791944e108b4ef126",1422464706,4,"soep4_4",4,"c",3,17006,4,0,0
90280201,"dfd_dfe","incr",2,"dfe","cb9b9cca299802b791944e108b4ef126",1422464754,1,"soep1_2",1,"b",3,1959,2,0,0
90280201,"dfd_dfe","incr",2,"dfe","cb9b9cca299802b791944e108b4ef126",1422464760,2,"soep2_2",1,"a",4,736,2,1,1
90280201,"dfd_dfe","incr",2,"dfe","cb9b9cca299802b791944e108b4ef126",1422464784,3,"soep3_4",1,"c",3,2110,4,0,0
90280201,"dfd_dfe","incr",2,"dfe","cb9b9cca299802b791944e108b4ef126",1422464793,4,"soep4_4",3,"c",3,875,4,0,0
90280202,"dfd_dfe","incr",1,"dfd","32d328a2274251a55b4209186ce37321",1422467206,1,"soep1_2",2,"b",3,3200,2,0,0
90280202,"dfd_dfe","incr",1,"dfd","32d328a2274251a55b4209186ce37321",1422467211,2,"soep2_2",2,"a",4,3145,2,1,1
90280202,"dfd_dfe","incr",1,"dfd","32d328a2274251a55b4209186ce37321",1422467224,3,"soep3_4",3,"a",0,10707,4,1,1
90280202,"dfd_dfe","incr",1,"dfd","32d328a2274251a55b4209186ce37321",1422467239,4,"soep4_4",1,"b",4,12314,4,0,1
90280202,"dfd_dfe","incr",2,"dfe","32d328a2274251a55b4209186ce37321",1422467286,1,"soep1_2",2,"b",3,1615,2,0,0
90280202,"dfd_dfe","incr",2,"dfe","32d328a2274251a55b4209186ce37321",1422467302,2,"soep2_2",2,"a",4,945,2,1,1
90280202,"dfd_dfe","incr",2,"dfe","32d328a2274251a55b4209186ce37321",1422467323,3,"soep3_4",3,"d",4,2125,4,0,1
