"mean","HDIl","HDIu","r2_med","r2_sd","timestamp","dv","sex","age","fluid","cryst","hhinc","incomenet","eduyears","social","sports","empl","effect","model","do_sim","j_sim","SOEPgen","SOEPdri","SOEPinv","SOEPrec","SOEPocc","SOEPhea","SOEPsoc","S.dfe2","S.dfe4","R.dfe2","R.dfe4","R.dfd2","R.dfd4","REM","REMsr","REMbeh","sim_median","sim_min","sim_max"
-0.0792442145750617,-0.178153441558551,0.0221944688288024,0.00986152906871006,0.00905835256120241,1520084477.04157,"R.dfd4","yes","no","no","no","no","yes","no","no","no","no","incomenet",29,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
-0.0200404507848824,-0.0581422412742916,0.018737141692932,0.096440119771314,0.00853736578378676,1520084555.31294,"REM","yes","no","no","no","no","yes","no","no","no","no","incomenet",30,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
-0.0491553746712711,-0.0971479235682537,-0.00324321725451557,0.0801982225572365,0.0145395428661989,1520084516.65813,"REMbeh","yes","no","no","no","no","yes","no","no","no","no","incomenet",31,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
0.00317100048832977,-0.0553337129001694,0.0605624848396994,0.293613308603951,0.0135530439497606,1520084515.31176,"REMsr","yes","no","no","no","no","yes","no","no","no","no","incomenet",32,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
0.0279951392044175,-0.061974622975028,0.122653029209666,0.0174193708329597,0.0118773547203884,1520084478.58378,"SOEPgen","no","yes","no","no","no","yes","no","no","no","no","incomenet",33,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.136012054657416,0.0436047991032498,0.231908565444107,0.0206400439903768,0.0130210118581827,1520084478.0421,"SOEPdri","no","yes","no","no","no","yes","no","no","no","no","incomenet",34,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.131413515694168,0.0408993375822912,0.222153437620903,0.030535045998816,0.0155152636271077,1520084478.19077,"SOEPinv","no","yes","no","no","no","yes","no","no","no","no","incomenet",35,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.00347389243590424,-0.0868092390243962,0.0793429456813052,0.0718702121322178,0.0217743254845164,1520084479.58667,"SOEPrec","no","yes","no","no","no","yes","no","no","no","no","incomenet",36,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0762356741147305,-0.0108689810109302,0.162097399313219,0.0619218088964232,0.0210666411795928,1520084479.04148,"SOEPocc","no","yes","no","no","no","yes","no","no","no","no","incomenet",37,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0691197635199505,-0.0222960804411945,0.160804280701264,0.00822622908263813,0.00797993384368878,1520084455.69815,"SOEPhea","no","yes","no","no","no","yes","no","no","no","no","incomenet",38,FALSE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0482304005466915,-0.0441951604648469,0.13913503450558,0.00603913654081255,0.00685307071869797,1520084481.16213,"SOEPsoc","no","yes","no","no","no","yes","no","no","no","no","incomenet",39,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0770828853156384,-0.178996610594514,0.0252474856917,0.00710710791732388,0.00769940360560325,1520084481.70292,"S.dfe2","no","yes","no","no","no","yes","no","no","no","no","incomenet",40,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
-0.010011650662054,-0.105326976254073,0.0851860530644462,0.01240708470257,0.00999499215797091,1520084481.5591,"S.dfe4","no","yes","no","no","no","yes","no","no","no","no","incomenet",41,FALSE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
-0.0652736568336147,-0.15811797317352,0.0300111701100997,0.0086748230197365,0.00836357751173822,1520084482.52993,"R.dfe2","no","yes","no","no","no","yes","no","no","no","no","incomenet",42,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
-0.01896195669392,-0.109306995411399,0.0708981417463014,0.00806206476613927,0.0084118020395654,1520084483.47643,"R.dfe4","no","yes","no","no","no","yes","no","no","no","no","incomenet",43,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
-0.0257796552298657,-0.120047136681879,0.0688434783037836,0.00398644706390693,0.00525839279317439,1520084483.18264,"R.dfd2","no","yes","no","no","no","yes","no","no","no","no","incomenet",44,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
-0.0308555099445257,-0.125754509513934,0.0673746717211168,0.0154115946857215,0.0106232222911922,1520084485.00117,"R.dfd4","no","yes","no","no","no","yes","no","no","no","no","incomenet",45,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
0.0191706129031227,-0.0191055787366947,0.0561222382114731,0.0969858372520421,0.00828857264011935,1520084581.28684,"REM","no","yes","no","no","no","yes","no","no","no","no","incomenet",46,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
-0.0374098883024842,-0.0847018864423269,0.00620169984060786,0.0813182017543406,0.0146336879939013,1520084536.30762,"REMbeh","no","yes","no","no","no","yes","no","no","no","no","incomenet",47,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
0.0665122076846168,0.011129590061603,0.122556419499706,0.292747360944448,0.0133148887785726,1520084539.68579,"REMsr","no","yes","no","no","no","yes","no","no","no","no","incomenet",48,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
-0.0160940183894291,-0.110540264588104,0.0798531665083921,0.0321273801796346,0.0151502565697959,1520084485.01929,"SOEPgen","yes","yes","no","no","no","yes","no","no","no","no","incomenet",49,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
